,latitud,longitud,zone,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_title
0,-34.5948318,-58.4198205,Palermo,Departamento,1.0,1.0,26.0,26.0,64765.0,MONOAMBIENTE EMPRENDIMIENTO PALERMO SOHO
1,-34.5856036,-58.4239568,Palermo,Departamento,1.0,1.0,32.0,30.0,110000.0,Venta departamento en palermo monoambiente
2,-34.5828,-58.4428,Palermo,Departamento,1.0,1.0,36.0,32.0,93621.0,VENTA 1 AMBIENTE de 32 a 66 m² -VIVIENDA/ ESTUDIOS
3,-34.5774,-58.4333,Palermo,Departamento,2.0,1.0,42.0,38.0,79900.0,VENTA DEPARTAMENTO 2 AMBIENTES EN PALERMO
4,-34.5753283,-58.420624,Palermo,Departamento,2.0,1.0,47.0,41.0,155000.0,DEPARTAMENTO DUPLEX 2 AMBIENTES CON 2 BALCONES EN PALERMO A 200 MTS DEL ROSEDAL
5,-34.573606,-58.432669,Palermo,Departamento,3.0,2.0,63.0,60.0,149000.0,VENTA ·DEPARTAMENTO 3 AMBIENTES EN CAÑITAS
6,-34.588245,-58.439884,Palermo,Departamento,2.0,1.0,72.0,56.0,195000.0,POZO - DOS AMB. - TERRAZA - COCHERA XL - PALERMO
7,-34.5896141,-58.412242,Palermo,Departamento,5.0,4.0,87.46584225998319,95.0,279000.0,Departamento - Palermo
8,-34.5850806,-58.4390306,Palermo,Departamento,2.0,1.0,55.0,55.0,138000.0,Departamentos de 2 ambientes. Terraza con parrilla. Entrega julio 2022.
9,-34.5860698,-58.4101218,Palermo,Departamento,3.0,2.0,81.0,78.0,245000.0,"Imperdible en edificio Torre, 3 ambientes muy luminoso!"
10,-34.6285923,-58.3721943,Barracas,Departamento,2.0,1.0,72.0,40.0,153000.0,2 ambientes con patio
11,-34.562107,-58.444337,Belgrano,Departamento,4.0,3.0,157.0,151.0,395000.0,VENTA - BELGRANO - 4 AMB CON DEPENDENCIA Y COCHERA
12,-34.5688758,-58.4636261,Belgrano,Departamento,2.0,1.0,45.0,45.0,118000.0,VENTA 2 AMBIENTES BELGRANO R
13,-34.565337,-58.453211,Belgrano,Departamento,5.0,4.0,96.0,96.0,235000.0,Venta depto 5 amb Cabildo 1700 - OPORTUNIDAD UNICA
14,-34.5668853,-58.4722535,Belgrano,Departamento,3.0,2.0,42.0,40.0,128000.0,"VENTA, Belgrano depto 3 amb c/baulera, oportunidad"
15,-34.56255538923825,-58.454258439393335,Belgrano,Departamento,2.0,1.0,48.0,46.0,98000.0,Departamento - Belgrano
16,-34.5669414,-58.4575743,Belgrano,Departamento,4.0,3.0,128.0,114.0,345000.0,RETASADO !!! Torre - Luminoso  - Excelente Planta! Cochera - Seguridad
17,-34.5759662,-58.4648148,Belgrano,Departamento,5.0,4.0,300.0,280.0,745000.0,Departamento 5 amb con dependencia   doble cochera en Torre Aisenson - Full Amenities
18,-34.5536365,-58.4521318,Belgrano,Departamento,3.0,2.0,62.0,62.0,120000.0,3 ambientes Barrancas 1er piso por escalera 62mts
19,-34.558972,-58.4612599,Belgrano,Departamento,1.0,1.0,41.0,34.0,102000.0,Departamento - Belgrano
20,-34.552839,-58.4554398,Belgrano,Departamento,3.0,2.0,71.0,66.0,220000.0,Venta Depto 3 amb + Cochera + Amenities Belgrano
21,-34.5645399,-58.4654396,Belgrano,Departamento,4.0,3.0,96.0,82.0,229000.0,DEPARTAMENTO 4 AMB EN VENTA BELGRANO R CON BALCÓN
22,-34.561744,-58.4527743,Belgrano,Departamento,4.0,3.0,100.0,90.0,319000.0,SEMIPISO DE 4 AMBIENTES C/DEP -  BALCON TERRAZA - CONTRAFRENTE - PASEO DEL ANGEL.
23,-34.5552783,-58.4597861,Belgrano,Departamento,4.0,3.0,100068.0,100051.0,420000.0,VENTA PISO 4 AMBIENTES BELGRANO COCHERA BALCON 
24,-34.550859,-58.453445,Belgrano,Departamento,3.0,2.0,127.0,86.0,249000.0,Venta departamento de 3 ambientes patio. Parrilla 
25,-34.56255538923825,-58.454258439393335,Belgrano,Departamento,4.0,2.0,147.0,147.0,398000.0,"VENTA Depto semi piso 4 amb luminoso, vig 24hs, coch fija - Jose Hernandez 2100, Belgrano"
26,-34.5641557,-58.4648576,Belgrano,Departamento,3.0,2.0,55.0,52.0,139500.0,"Hermoso 3 ambientes, Belgrano, Remodelado a nuevo!"
27,-34.5629091,-58.463245,Belgrano,Departamento,4.0,3.0,150.0,130.0,535000.0,"VENTA PISO 4 AMBIENTES C/COCHERA ""BELGRANO R"""
28,-34.5597340021,-58.44587621,Belgrano,Departamento,2.0,1.0,55.0,47.0,240000.0,"Venta, Departamento, 2 Ambientes, Balcón, Cochera, Full Amenities, Belgrano Barrancas"
29,-34.5686652,-58.4536589,Belgrano,Departamento,2.0,1.0,54.0,49.0,139500.0,VENTA  - SEMIPISO A ESTRENAR - 2 AMBIENTES  CON COCHERA - - BELGRANO
30,-34.5638,-58.44086,Belgrano,Departamento,4.0,3.0,95.0,85.0,235000.0,DPTO 4 AMB BALCÓN EN CAÑITAS. Cochera al lado
31,-34.565269,-58.457537,Belgrano,Departamento,4.0,3.0,139.0,129.0,330000.0,VENTA 4 AMB. COCHERA ESCRITORIO BELGRANO RECICLADO
32,-34.5612601,-58.4631335,Belgrano,Departamento,2.0,1.0,30.0,30.0,90000.0,"Venta departamento 2 amb apto profesional, cochera, bajas expensas. Belgrano"
33,-34.558309,-58.459923,Belgrano,Departamento,2.0,1.0,32.0,31.0,60000.0,DEPTO 2 AMBIENTES BELGRANO- OPORTUNIDAD-
34,-34.5573375,-58.4595056,Belgrano,Departamento,4.0,3.0,158.0,142.0,470000.0,VENTA PISO 4 AMB. C/DEP. COCHERA BAULERA BELGRANO
35,-34.5553063,-58.4641817,Belgrano,Departamento,1.0,1.0,35.0,33.0,78000.0,Ambiente equipado y amoblado - Ideal Aribnb o primer vivienda
36,-34.5656058,-58.448062,Belgrano,Departamento,3.0,2.0,74.0,71.0,155000.0,VENTA 3 AMB C/BALCON MUY LUMINOSO - FLORIDA
37,-34.5601751,-58.4579508,Belgrano,Departamento,2.0,1.0,59.0,58.0,108000.0,Venta Departamento 2 ambientes y medio c/Balcon
38,-34.5583948,-58.4639958,Belgrano,Departamento,4.0,3.0,135.0,123.0,250000.0,Venta piso en Belgrano * Reciclado * 
39,-34.56496,-58.466266,Belgrano,Departamento,4.0,3.0,100.0,88.0,229900.0,VENTA DEPARTAMENTO 4/5 AMBIENTES BELGRANO
40,-34.610933,-58.399461,Congreso,Departamento,5.0,3.0,100.0,85.0,129000.0,Departamento en Venta en congreso 
41,-34.6125678744,-58.3862747174,Congreso,Departamento,3.0,2.0,85.0,85.0,120000.0,Hermoso 3 ambientes en excelente estado!
42,-34.6280823,-58.4789424,Floresta,Departamento,4.0,3.0,95.0,87.0,160000.0,VENTA Departamento 4 ambientes FLORESTA semipiso
43,-34.602512,-58.469138,Paternal,Departamento,1.0,1.0,38.0,34.0,67000.0,VENTA MONOAMBIENTE PB PATIO LA PATERNAL
44,-34.6037738,-58.4729117,Paternal,Departamento,3.0,2.0,92.0,69.0,128000.0,"Venta 3 amb, balcón terraza, parrilla, Paternal"
45,-34.602078,-58.457708,Paternal,Departamento,1.0,1.0,24.0,23.0,57000.0,"Monoambiente al Frente con balcón, SUM PARRILLA !!"
46,-34.5913208,-58.4043947,Recoleta,Departamento,1.0,1.0,32.0,32.0,55000.0,LUMINOSO Y AMPLIO MONOAMBIENTE EN BARRIO NORTE
47,-34.5913654,-58.3945796,Recoleta,Departamento,1.0,1.0,32.0,32.0,95000.0,Departamento - Recoleta
48,-34.5835527,-58.3962325,Recoleta,Departamento,3.0,2.0,53.0,46.0,130000.0,Venta 3 ambientes Recoleta en esquina Mucha Luz
49,-34.5872918,-58.4031186,Recoleta,Departamento,3.0,2.0,53.0,53.0,170000.0,Venta Departamento Recoleta 53 m2 - ALTO - 2 dormitorios al frente RECICLADO
50,-34.5926397,-58.3950119,Recoleta,Departamento,3.0,2.0,80.0,75.0,230000.0,VENTA Departamento Recoleta  80 m2 IMPERDIBLE Reciclado total 2 dormit y toil
51,-34.5965469445,-58.3972263336,Recoleta,Departamento,4.0,3.0,137.0,135.0,330000.0,VENTA  RECOLETA 4 AMBIENTES  CON DEPENDENCIA 
52,-34.5940954311,-58.3913185156,Recoleta,Departamento,4.0,2.0,196.0,176.0,490000.0,"Duplex de Categoría - Master Suite CON BALCON TERRAZA - BALCON, BAULERA Y LAVADERO - PISO ALTO"
53,-34.59204177591038,-58.396513804961685,Recoleta,Departamento,4.0,3.0,103.0,96.0,365000.0,Venta departamento a la Plaza Vicente Lopez como CENTRAL PARK a sus pies
54,-34.6035647895,-58.3701541585,Recoleta,Departamento,4.0,3.0,103.22648455886846,115.0,310000.0,DEPARTAMENTO RECOLETA 4 AMBIENTES INMEJORABLE UBICACION
55,-34.5933032,-58.3861542,Recoleta,Departamento,3.0,2.0,129.0,121.0,390000.0,Departamento - Recoleta
56,-34.598511083,-58.4052085876,Recoleta,Departamento,4.0,3.0,100.0,93.0,208000.0,DEPTO 4 AMB+ESCRITORIO C/BALCON AL FRENTE-RECOLETA
57,-34.5916562,-58.3813397,Recoleta,Departamento,3.0,1.0,197.0,197.0,490000.0,Venta  Departamento Recoleta Retiro duplex PB atípico 1 dormitorio 197m2 vista embaj Fr
58,-34.5896155,-58.394553,Recoleta,Departamento,7.0,4.0,196.0,196.0,359000.0,Av. Las Heras y Junin - 200m2 de categoría a refaccionar - TOUR360
59,-34.5953538,-58.3921108,Recoleta,Departamento,4.0,3.0,110.0,110.0,270000.0,Av. Santa Fe 1158 - 4 Ambientes - RECICLADO
60,-34.5989667848,-58.3958637714,Recoleta,Departamento,3.0,2.0,66.0,58.0,135000.0,VENTA 3 AMBIENTES CON BALCON EN RECOLETA
61,-34.5902615,-58.4087078,Recoleta,Departamento,2.0,1.0,23.30920619071223,32.0,70000.0,Departamento - Recoleta
62,-34.591252,-58.409405,Recoleta,Departamento,3.0,2.0,76.0,68.0,195000.0,HERMOSO DEPTO 3 AMB C/BALCON 76M2 - ALTO PALERMO
63,-34.5904951,-58.394325,Recoleta,Departamento,6.0,3.0,198.0,185.0,580000.0,Departamento - Recoleta
64,-34.5563898,-58.4789802,Saavedra,Departamento,2.0,1.0,44.0,42.0,135000.0,"VENTA 2 AMB., MELIAN 3500, SAAVEDRA, C/ AMENITES"
65,-34.54972,-58.476547,Saavedra,Departamento,4.0,3.0,65.0,60.0,180000.0,Departamento - Venta - 4 Ambientes - Saavedra - Capital Federal -
66,-34.5578199151,-58.4890222549,Saavedra,Departamento,3.0,2.0,68.0,42.0,129000.0,DPTO. 3 AMB CON BALCÓN TERRAZA Y TERRAZA PROPIA
67,-34.6119219,-58.3960572,Balvanera,Departamento,2.0,1.0,55.0,55.0,84000.0,VENTA 2 ambientes en Balvanera - OPORTUNIDAD!
68,-34.598511083,-58.4052085876,Balvanera,Departamento,4.0,3.0,100.0,93.0,208000.0,DEPTO 4 AMB + ESCRIT C/BALCON AL FRENTE-BALVANERA
69,-34.6042849644,-58.3954628778,Balvanera,Departamento,4.0,3.0,116.0,116.0,99800.0,Venta Dto. 4 ambientes de época
70,-34.6003087,-58.4044663,Balvanera,Departamento,4.0,3.0,107.0,99.0,220000.0,VENTA DEPARTAMENTO 4 AMB + Dependencia y cocina amplia C/ comedor diario 107 m2
71,-34.600892,-58.402505,Balvanera,Departamento,3.0,2.0,60.0,60.0,96000.0,VENTA DEPARTAMENTO 3 AMBIENTES AL FRENTE
72,-34.6152801,-58.4049095,Balvanera,Departamento,3.0,2.0,77.0,74.0,125000.0,Departamento 3 Amb Depend Toilette Venta Balvanera
73,-34.6003179787,-58.4076654911,Balvanera,Departamento,3.0,2.0,85.0,78.0,208264.0,DEPTO VENTA 3 AMB C/ DEPENDENCIA BALCON BALVANERA
74,-34.6003179787,-58.4076654911,Balvanera,Departamento,3.0,2.0,94.0,83.0,225336.0,DEPTO VENTA 3 AMB C/ DEPENDENCIA BALCON ZONA ONCE
75,-34.6165717962,-58.3962392805,Balvanera,Departamento,4.0,3.0,85.0,76.0,129000.0,VENTA DEPARTAMENTO - 4 AMB. 85m2 Tot. CON COCHERA
76,-34.6046882,-58.4056882,Balvanera,Departamento,3.0,2.0,50.0,50.0,79000.0,Av Pueyrredon al 500 y Lavalle 3 ambientes 50 m2 por escalera
77,-34.604915,-58.400399,Balvanera,Departamento,1.0,1.0,25.0,25.0,46000.0,Venta monoambiente divisible 25mts Balvanera
78,-34.6145463,-58.4012157,Balvanera,Departamento,2.0,1.0,42.0,39.0,63000.0,2 ambientes al frente - vista abierta
79,-34.599767,-58.4061678,Balvanera,Departamento,3.0,2.0,80.0,70.0,112000.0,San Luis al 2900 3 ambientes 80 m2
80,-34.6034135,-58.3973534,Balvanera,Departamento,3.0,2.0,82.0,74.0,149000.0,Departamento 3 o 4 ambientes zona facultad 
81,-34.6227648,-58.4372892,Caballito,Departamento,1.0,1.0,23.0,23.0,46500.0,"Venta monoabiente San Ireneo al 300, Caballito"
82,-34.6131458,-58.4277917,Caballito,Departamento,2.0,1.0,52.86944689935966,36.0,76500.0,Venta 2 ambientes bajas expensas
83,-34.6202619769,-58.4553227848,Caballito,Departamento,2.0,1.0,47.0,38.0,130000.0,Departamento - Caballito
84,-34.6077596,-58.4449414,Caballito,Departamento,3.0,2.0,70.0,59.0,166900.0,3 AMB A ESTRENAR - DETALLES DE CALIDAD - CID CAMPEADOR
85,-34.6059845836,-58.459852808,Caballito,Departamento,3.0,2.0,70.0,65.0,128900.0,Departamento - Caballito Norte
86,-34.6251267,-58.4500056,Caballito,Departamento,3.0,2.0,84.0,75.0,215000.0,Departamento 3 ambientes con Cochera - Caballito
87,-34.6097707,-58.4441192,Caballito,Departamento,3.0,2.0,68.0,58.0,170000.0,Departamento - Caballito
88,-34.6077596,-58.4449414,Caballito,Departamento,2.0,1.0,66.0,40.0,154900.0,1 O 2 AMB A ESTRENAR - LA MEJOR TERRAZA DEL CID CAMPEADOR
89,-34.6217243,-58.4436629,Caballito,Departamento,3.0,2.0,51.0,51.0,88000.0,3 ambientes Caballito
90,-34.6193828,-58.4418638,Caballito,Departamento,2.0,1.0,41.0,39.0,74900.0,Departamento 2 ambientes con balcón en Caballito
91,-34.621843,-58.443871,Caballito,Departamento,3.0,2.0,50.0,50.0,79500.0,Caballito 3 Ambientes Pra Junta subte 50m Piso 9
92,-34.6228014,-58.4410018,Caballito,Departamento,2.0,1.0,30.0,30.0,61000.0,Venta depto. 2 amb. limite balvanera/barrio norte.
93,-34.61031878,-58.4443742037,Caballito,Departamento,4.0,3.0,123.0,110.0,323990.0,Vta Caballito 4 amb 2cocheras y baulera 
94,-34.6184575,-58.4398969,Caballito,Departamento,2.0,1.0,41.0,41.0,89000.0,VENTA DEPARTAMENTO en  CABALLITO 2 Ambientes 
95,-34.6227848,-58.4290182,Caballito,Departamento,3.0,2.0,51.0,51.0,89000.0,DEPARTAMENTO EN VENTA 3 AMBIENTES CABALLITO
96,-34.624845,-58.431635,Caballito,Departamento,2.0,1.0,49.0,45.0,92900.0,Emprendimiento - Venta 2 amb - CABALLITO SUR
97,-34.628878,-58.4536103,Caballito,Departamento,2.0,1.0,42.0,42.0,98000.0,Departamento 2  ambientes con Baulera - Caballito
98,-34.6113575,-58.4540365,Caballito,Departamento,4.0,3.0,78.0,78.0,140000.0,"Depto de 4 Amb en Caballito, 78m2 -  Oportunidad con Jardin comun espectacular"
99,-34.6077977,-58.4472853,Caballito,Departamento,2.0,1.0,59.0,57.0,134900.0,Venta 2 amb con cochera en Caballito 
100,-34.6202619769,-58.4553227848,Caballito,Departamento,2.0,1.0,46.0,38.0,125000.0,Departamento - Caballito
101,-34.6206485,-58.4338146,Caballito,Departamento,3.0,2.0,94.0,87.0,188000.0,Departamento - P.Rivadavia
102,-34.6077596,-58.4449414,Caballito,Departamento,3.0,2.0,70.0,59.0,172500.0,3 AMB A ESTRENAR - DETALLES DE CALIDAD Y VISTA IMPRESIONANTE - CID CAMPEADOR
103,-34.6281393,-58.4503822,Caballito,Departamento,2.0,1.0,47.0,45.0,149900.0,Al Frente con Balcon - Excelente edificio con Amenities Piscina - Parrilla - Solarium -
