ID,sentimiento
0,negativo
1,positivo
2,negativo
3,positivo
4,negativo
5,positivo
6,negativo
7,negativo
8,negativo
9,negativo
10,negativo
11,negativo
12,negativo
13,negativo
14,negativo
15,negativo
16,positivo
17,negativo
18,positivo
19,negativo
20,positivo
21,positivo
22,negativo
23,positivo
24,positivo
25,negativo
26,positivo
27,positivo
28,positivo
29,positivo
30,negativo
31,positivo
32,negativo
33,negativo
34,negativo
35,positivo
36,positivo
37,positivo
38,positivo
39,positivo
40,positivo
41,positivo
42,negativo
43,positivo
44,positivo
45,negativo
46,negativo
47,positivo
48,positivo
49,negativo
50,negativo
51,negativo
52,positivo
53,positivo
54,negativo
55,positivo
56,positivo
57,positivo
58,positivo
59,positivo
60,positivo
61,positivo
62,positivo
63,positivo
64,positivo
65,positivo
66,positivo
67,positivo
68,negativo
69,negativo
70,positivo
71,positivo
72,positivo
73,positivo
74,positivo
75,negativo
76,positivo
77,positivo
78,negativo
79,negativo
80,positivo
81,negativo
82,negativo
83,negativo
84,positivo
85,positivo
86,negativo
87,positivo
88,positivo
89,negativo
90,positivo
91,negativo
92,negativo
93,negativo
94,negativo
95,negativo
96,negativo
97,negativo
98,negativo
99,negativo
100,positivo
101,positivo
102,positivo
103,negativo
104,positivo
105,positivo
106,negativo
107,negativo
108,positivo
109,positivo
110,positivo
111,positivo
112,positivo
113,negativo
114,positivo
115,negativo
116,positivo
117,positivo
118,positivo
119,negativo
120,negativo
121,positivo
122,negativo
123,positivo
124,positivo
125,positivo
126,negativo
127,positivo
128,positivo
129,negativo
130,positivo
131,negativo
132,positivo
133,positivo
134,positivo
135,negativo
136,positivo
137,positivo
138,positivo
139,positivo
140,negativo
141,positivo
142,positivo
143,positivo
144,positivo
145,negativo
146,positivo
147,positivo
148,positivo
149,positivo
150,positivo
151,positivo
152,negativo
153,positivo
154,negativo
155,negativo
156,positivo
157,negativo
158,negativo
159,positivo
160,negativo
161,positivo
162,negativo
163,negativo
164,positivo
165,negativo
166,positivo
167,negativo
168,positivo
169,positivo
170,negativo
171,negativo
172,positivo
173,positivo
174,positivo
175,negativo
176,positivo
177,positivo
178,positivo
179,negativo
180,positivo
181,positivo
182,positivo
183,negativo
184,negativo
185,negativo
186,negativo
187,negativo
188,negativo
189,positivo
190,negativo
191,positivo
192,positivo
193,negativo
194,positivo
195,positivo
196,positivo
197,positivo
198,negativo
199,positivo
200,negativo
201,negativo
202,positivo
203,negativo
204,negativo
205,negativo
206,positivo
207,positivo
208,positivo
209,positivo
210,positivo
211,positivo
212,positivo
213,positivo
214,positivo
215,negativo
216,negativo
217,positivo
218,negativo
219,positivo
220,positivo
221,positivo
222,positivo
223,positivo
224,positivo
