,sentimiento
0,negativo
1,negativo
2,negativo
3,negativo
4,negativo
5,negativo
6,negativo
7,negativo
8,negativo
9,negativo
10,negativo
11,negativo
12,negativo
13,negativo
14,negativo
15,negativo
16,positivo
17,positivo
18,positivo
19,negativo
20,positivo
21,positivo
22,negativo
23,positivo
24,negativo
25,negativo
26,positivo
27,positivo
28,negativo
29,positivo
30,negativo
31,positivo
32,negativo
33,negativo
34,negativo
35,positivo
36,positivo
37,positivo
38,positivo
39,negativo
40,positivo
41,positivo
42,negativo
43,negativo
44,negativo
45,negativo
46,negativo
47,positivo
48,positivo
49,negativo
50,negativo
51,negativo
52,positivo
53,positivo
54,negativo
55,positivo
56,positivo
57,positivo
58,negativo
59,positivo
60,negativo
61,positivo
62,positivo
63,negativo
64,positivo
65,positivo
66,positivo
67,negativo
68,negativo
69,negativo
70,positivo
71,negativo
72,positivo
73,positivo
74,positivo
75,negativo
76,positivo
77,positivo
78,negativo
79,negativo
80,negativo
81,negativo
82,negativo
83,negativo
84,positivo
85,positivo
86,positivo
87,positivo
88,positivo
89,positivo
90,positivo
91,negativo
92,negativo
93,negativo
94,negativo
95,negativo
96,negativo
97,positivo
98,negativo
99,positivo
100,positivo
101,negativo
102,positivo
103,negativo
104,negativo
105,positivo
106,negativo
107,negativo
108,positivo
109,positivo
110,positivo
111,positivo
112,positivo
113,negativo
114,negativo
115,positivo
116,negativo
117,positivo
118,negativo
119,negativo
120,negativo
121,positivo
122,positivo
123,positivo
124,positivo
125,positivo
126,negativo
127,negativo
128,negativo
129,negativo
130,negativo
131,negativo
132,negativo
133,positivo
134,positivo
135,positivo
136,positivo
137,positivo
138,positivo
139,negativo
140,negativo
141,positivo
142,negativo
143,positivo
144,negativo
145,negativo
146,positivo
147,negativo
148,positivo
149,positivo
150,negativo
151,positivo
152,negativo
153,positivo
154,negativo
155,negativo
156,positivo
157,negativo
158,negativo
159,positivo
160,negativo
161,positivo
162,positivo
163,negativo
164,negativo
165,negativo
166,negativo
167,negativo
168,negativo
169,positivo
170,negativo
171,negativo
172,positivo
173,positivo
174,negativo
175,positivo
176,positivo
177,positivo
178,positivo
179,positivo
180,positivo
181,positivo
182,positivo
183,positivo
184,positivo
185,negativo
186,negativo
187,negativo
188,negativo
189,negativo
190,negativo
191,negativo
192,positivo
193,negativo
194,negativo
195,positivo
196,negativo
197,positivo
198,negativo
199,positivo
200,positivo
201,positivo
202,negativo
203,negativo
204,negativo
205,negativo
206,negativo
207,negativo
208,negativo
209,positivo
210,negativo
211,positivo
212,positivo
213,positivo
214,negativo
215,negativo
216,positivo
217,positivo
218,negativo
219,positivo
220,positivo
221,positivo
222,positivo
223,positivo
224,negativo
225,positivo
226,positivo
227,negativo
228,positivo
229,negativo
230,positivo
231,negativo
232,negativo
233,negativo
234,negativo
235,positivo
236,positivo
237,positivo
238,negativo
239,positivo
240,positivo
241,positivo
242,positivo
243,positivo
244,positivo
245,positivo
246,positivo
247,positivo
248,negativo
249,positivo
250,positivo
251,negativo
252,positivo
253,negativo
254,positivo
255,positivo
256,positivo
257,negativo
258,negativo
259,negativo
260,positivo
261,negativo
262,positivo
263,negativo
264,positivo
265,positivo
266,positivo
267,negativo
268,positivo
269,negativo
270,negativo
271,negativo
272,negativo
273,positivo
274,positivo
275,positivo
276,positivo
277,positivo
278,positivo
279,negativo
280,negativo
281,positivo
282,positivo
283,positivo
284,positivo
285,positivo
286,positivo
287,positivo
288,positivo
289,positivo
290,negativo
291,positivo
292,positivo
293,negativo
294,positivo
295,negativo
296,negativo
297,negativo
298,negativo
299,negativo
300,negativo
301,positivo
302,negativo
303,negativo
304,positivo
305,positivo
306,positivo
307,negativo
308,negativo
309,positivo
310,positivo
311,positivo
312,positivo
313,positivo
314,negativo
315,negativo
316,negativo
317,positivo
318,negativo
319,positivo
320,positivo
321,negativo
322,negativo
323,positivo
324,negativo
325,positivo
326,positivo
327,positivo
328,negativo
329,negativo
330,negativo
331,positivo
332,negativo
333,positivo
334,positivo
335,positivo
336,positivo
337,negativo
338,positivo
339,negativo
340,negativo
341,positivo
342,negativo
343,positivo
344,positivo
345,positivo
346,negativo
347,positivo
348,negativo
349,negativo
350,positivo
351,positivo
352,positivo
353,positivo
354,positivo
355,positivo
356,negativo
357,positivo
358,negativo
359,negativo
360,negativo
361,positivo
362,negativo
363,negativo
364,positivo
365,negativo
366,positivo
367,positivo
368,negativo
369,negativo
370,positivo
371,positivo
372,positivo
373,negativo
374,positivo
375,positivo
376,negativo
377,negativo
378,positivo
379,positivo
380,positivo
381,positivo
382,negativo
383,positivo
384,positivo
385,positivo
386,positivo
387,positivo
388,positivo
389,positivo
390,positivo
391,positivo
392,negativo
393,negativo
394,positivo
395,positivo
396,positivo
397,negativo
398,positivo
399,negativo
400,positivo
401,positivo
402,positivo
403,positivo
404,negativo
405,positivo
406,positivo
407,negativo
408,positivo
409,positivo
410,positivo
411,positivo
412,negativo
413,positivo
414,positivo
415,positivo
416,negativo
417,positivo
418,positivo
419,positivo
420,negativo
421,negativo
422,negativo
423,positivo
424,positivo
425,positivo
426,positivo
427,positivo
428,positivo
429,positivo
430,negativo
431,positivo
432,positivo
433,negativo
434,positivo
435,positivo
436,positivo
437,negativo
438,positivo
439,positivo
440,positivo
441,positivo
442,positivo
443,positivo
444,negativo
445,negativo
446,positivo
447,negativo
448,positivo
449,positivo
450,positivo
451,positivo
452,positivo
453,positivo
454,positivo
455,positivo
456,positivo
457,negativo
458,positivo
459,negativo
460,negativo
461,positivo
462,negativo
463,positivo
464,positivo
465,positivo
466,negativo
467,positivo
468,positivo
469,positivo
470,negativo
471,negativo
472,negativo
473,negativo
474,positivo
475,negativo
476,negativo
477,negativo
478,negativo
479,positivo
480,negativo
481,positivo
482,negativo
483,negativo
484,positivo
485,positivo
486,negativo
487,positivo
488,positivo
489,positivo
490,negativo
491,positivo
492,negativo
493,negativo
494,negativo
495,negativo
496,positivo
